Country,Percent_enrolled,TFR
Chad,5.26607,6.486
Guinea-Bissau,6.0965,5.052
Central African Republic,9.56539,4.538
Niger,9.70964,7.581
Ethiopia,11.21987,4.769
Benin,12.01869,5.01
Angola,12.0703,6.099
Mauritania,13.51678,4.783
Uganda,14.52662,6.06
Togo,15.356,4.746
Burundi,16.99342,6.214
Mozambique,17.31565,5.338
Burkina Faso,17.88039,5.781
Senegal,18.0479,5.019
Equatorial Guinea,19.09759,5.044
Djibouti,21.04243,3.53
Eritrea,23.16854,4.875
Guinea,23.47206,5.088
Tanzania,25.76196,5.359
Mali,28.42296,6.85
Malawi,28.69557,5.554
Solomon Islands,28.88182,4.168
Sudan,30.44596,4.563
Pakistan,30.59005,3.347
Madagascar,31.07507,4.59
Yemen,33.65079,4.348
Sao Tome and Principe,33.88747,4.217
Zimbabwe,34.05876,3.643
Cambodia,36.44534,2.929
Swaziland,37.62745,3.483
Iraq,39.63015,4.147
Laos,39.71287,3.2
Timor-Leste,39.74941,5.453
Lesotho,40.82396,3.148
Guatemala,44.5417,3.908
Burma (Myanmar),48.03389,1.98
Kenya,48.40481,4.538
Nicaragua,48.53937,2.585
Ghana,50.17847,3.985
Bangladesh,51.28162,2.24
Vanuatu,52.52045,3.456
Maldives,53.09044,2.314
Namibia,57.47615,3.167
Bhutan,60.80906,2.322
Nepal,61.1474,2.496
El Salvador,62.45441,2.236
Suriname,62.84447,2.318
Albania,63.85349,1.748
South Africa,64.56641,2.438
Marshall Islands,64.72868,4.5
Paraguay,64.86734,2.931
Botswana,65.2531,2.712
Malaysia,65.59792,1.986
Dominican Republic,66.4964,2.551
Philippines,66.74229,3.111
Lebanon,67.60406,1.502
Bolivia,69.00077,3.308
Syrian Arab Republic,69.16842,3.04
Mexico,69.38244,2.248
Kiribati,73.36224,3.014
Cape Verde,74.03762,2.375
Belize,74.52119,2.756
Ecuador,74.99171,2.622
Trinidad and Tobago,75.17226,1.801
Costa Rica,75.33712,1.827
Uruguay,76.12805,2.068
Jamaica,76.14386,2.309
Macedonia,76.51269,1.443
Colombia,76.56268,2.346
Grenada,77.12223,2.217
Indonesia,77.46226,2.403
Peru,77.4748,2.479
Venezuela,77.61303,2.444
Moldova,78.3322,1.469
Tajikistan,78.6051,3.807
Bermuda,78.60769,1.764
United Arab Emirates,79.1376,1.841
Panama,79.31681,2.521
Iran,79.36925,1.912
Switzerland,79.79748,1.52
Kyrgyzstan,79.94532,3.06
China. Macao. SAR,80.16345,1.031
Tonga,80.3132,3.864
Georgia,80.34162,1.822
Turkey,80.38681,2.08
Aruba,80.68243,1.69
Romania,80.69837,1.25
Mauritius,80.7279,1.45
China. Hong Kong. SAR,81.40346,1.204
Thailand,81.7185,1.427
Egypt,82.42445,2.845
St. Lucia,83.63704,1.96
Malta,83.69828,1.38
Belgium,84.13798,1.84
Latvia,84.3747,1.34
Samoa,84.37763,4.277
Bulgaria,84.46896,1.51
Antigua and Barbuda,84.97984,2.115
Mongolia,85.32775,2.447
Kazakhstan,85.70186,2.59
Australia,85.77884,1.87
Ukraine,85.81691,1.459
Liechtenstein,85.85724,1.69
Portugal,85.88101,1.35
Bahamas,85.88633,1.898
Azerbaijan,85.92489,1.92
Chile,85.93063,1.844
Oman,86.32969,2.899
St. Vincent and the Grenadines,86.53224,2.046
Cuba,87.31644,1.459
Bahrain,87.3563,2.115
Sri Lanka,87.49994,2.347
Fiji,87.50984,2.641
United States of America,87.84854,1.8945
Kuwait,87.88169,2.652
Dominica,87.90003,1.9
St. Kitts and Nevis,88.12806,2.107
Luxembourg,88.29036,1.52
Iceland,88.83765,2.02
Argentina,88.87261,2.201
Jordan,89.36846,3.386
Armenia,90.69669,1.738
Netherlands,90.82292,1.76
Estonia,90.93685,1.52
Poland,91.15519,1.3
Serbia,91.36665,1.36
Hungary,91.90062,1.23
Denmark,92.29133,1.75
Italy,92.42696,1.41
Sweden,92.6271,1.9
Finland,92.68113,1.83
Cyprus,92.9666,1.47
Slovenia,93.83172,1.56
United Kingdom,94.76632,1.98
Brunei Darussalam,95.00192,2.031
Croatia,95.07607,1.46
Norway,95.53873,1.88
South Korea,95.55203,1.244
Belarus,95.83108,1.51
Barbados,96.31709,1.842
Spain,96.41994,1.36
Lithuania,96.44585,1.76
New Zealand,97.08669,2.1
France,97.52881,2.03
Greece,99.06986,1.43
Japan,99.52619,1.39
Ireland,99.57152,2.05
Israel,99.61135,3
Seychelles,99.64328,2.1
Guyana,100,2.638
Qatar,100,2.055
